NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
203	vomit	1278	VOMIT	2
204	waist	1681	WAIST	2
205	walk	1443	WALK	2
206	wall	3830	WALL	2
207	water	948	WATER	2
208	weak	1601	WEAK	2
209	weave	133	WEAVE	2
210	western tarsier			
211	wet	1726	WET	2
212	white	1335	WHITE	2
213	wing	1257	WING	2
214	wipe	1454	WIPE	2
215	woman	962	WOMAN	2
216	worm	1219	WORM	2
217	yam	410	YAM	2
218	year	1226	YEAR	2
219	yesterday	1174	YESTERDAY	2
#<<<				
220	you	1213	YOU	2
220	you	1215	THOU	2
220	you	2312	YOU (OBLIQUE CASE OF YOU)	2
#>>>				
221	younger siblings	427	YOUNGER SIBLING	2

